first_name;last_name;email;address;postal_code;city;IntérêtDéfense;IntérêtÉconomie;IntérêtÉducation;IntérêtGéopolitique;CentreIntérêtLaCouture;CentreIntérêtLeVélo;CentreIntérêtLaCuisine;CentreIntérêtLesVoyages;CentreIntérêtRien;donateur10;donateur20;donateur50;donateur100;PetitionSauvezWilly;PetitionSouleverDesMontagne;PetitionVieDureSansConfiture;MeetingGrandMeetingDeLaRentree2022;MeetingLesRencontresMensuelles;MeetingManifestationContreLeauFroide;MeetingManifestationContreLeFeu;Latitude;Longitude
Jérôme;Loiseau;edith74@pruvost.fr;185 AV DE VERDUN;45800;SAINT-JEAN-DE-BRAYE;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;47.924268;1.991996
Luc;Lemaire;nblot@lebreton.fr;0 BD RESISTANCE ET DEPORTATION;49100;ANGERS;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;47.471242;-0.547583
Denis;Vincent;lelievre.laurence@lefevre.fr;48 BD DU MARECHAL FOCH;49100;ANGERS;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;47.468029;-0.551264
Gabriel;Robin;maurice.leblanc@yahoo.fr;4 RUE LARREY;49100;ANGERS;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;47.480948;-0.554426
Dominique;Le Roux;arnaude.jean@goncalves.com;1 RUE DE MARENGO;49300;CHOLET;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;47.04196;-0.897184
Marie;Ruiz;guillaume.pierre@dbmail.com;98  CANDOL;50000;SAINT-LO;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;49.100652;-1.117092
Jeannine;Courtois;antoine.richard@petitjean.net;46 RUE DU VAL DE SAIRE;50100;CHERBOURG-EN-COTENTIN;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;49.638538;-1.613213
Antoine;Techer;thibault.patrick@laporte.org;0 PL BRUAT;50100;CHERBOURG-EN-COTENTIN;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;49.640615;-1.624229
Éléonore;Lemonnier;jmartin@moulin.fr;0 RTE DEPARTEMENTALE  901;50440;LA HAGUE;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;49.714454;-1.919814
Michelle;Renault;chantal26@free.fr;9 PL DE L HOTEL DE VILLE;51100;REIMS;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;49.257756;4.031981
Odette;Pineau;bonnet.michele@sauvage.fr;45 RUE COGNACQ JAY;51100;REIMS;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Oui;49.231413;4.018907
Amélie;Leclercq;marc.camus@orange.fr;0 RUE DU GENERAL KOENIG;51100;REIMS;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;49.225764;4.020973
Paulette;Mallet;helene.guillet@faivre.fr;29 AV MAL DE LATTRE DE TASSIGNY;54000;NANCY;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;48.68394;6.189453
Denis;Lelievre;luce39@noos.fr;48  ESP JACQUES BAUDOT;54000;NANCY;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;48.679425;6.166753
Mathilde;Chauvet;julien77@yahoo.fr;0 RUE DU MORVAN;54500;VANDOEUVRE-LES-NANCY;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;48.649142;6.155099
Madeleine;Regnier;bernard31@renard.net;0 RUE SAINT TROPEZ;56000;VANNES;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;47.657092;-2.750242
Adrien;Petitjean;moulin.veronique@orange.fr;20 BD GEN MAURICE GUILLAUDOT;56000;VANNES;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Oui;47.664708;-2.742398
Louis;Lombard;hgallet@noos.fr;5 AV CHOISEUL;56100;LORIENT;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;47.752578;-3.355969
Philippe;Tanguy;charrier.laure@regnier.com;0  LA VILLOUET;56200;LA GACILLY;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;47.777611;-2.153088
Jérôme;Reynaud;leleu.aurore@baron.com;0 PL GABRIEL HOCQUARD;57000;METZ;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;49.12471;6.175351
Agathe;Vallet;gcharles@blanchard.com;1 PL D ARMES;57000;METZ;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;49.125245;6.175654
Laure;Delannoy;luce.reynaud@dumas.com;1 RUE DU PONT MOREAU;57000;METZ;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;49.122766;6.17556
Théodore;Rossi;aroux@garcia.fr;17 AV DES TILLEULS;57190;FLORANGE;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;49.326202;6.129033
Josette;Maillard;helene.bouvier@guillon.com;0  METROPOLE LORRAINE;57300;TREMERY;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;49.247006;6.22469
Patricia;Chevalier;thomas98@cohen.fr;0 ALL DU CHATEAU;57530;ARS-LAQUENEXY;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;49.094245;6.276576
Lucy;Berthelot;amelie97@gregoire.fr;1 AV PATRICK GUILLOT;58000;NEVERS;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;46.977767;3.123401
Julien;Le Gall;tjacques@free.fr;0 PL DE VERDUN;59000;LILLE;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;50.64483;2.995144
Clémence;Gosselin;morvan.claudine@free.fr;17  GRD PLACE;59100;ROUBAIX;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;50.695494;3.164253
Guy;Guyot;sledoux@hotmail.fr;11 BD LACORDAIRE;59100;ROUBAIX;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;50.679056;3.172961
Alfred;Peron;roussel.thierry@gimenez.com;0 PL CHARLES VALENTIN;59140;DUNKERQUE;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;51.037803;2.377373
Sébastien;Sauvage;blanchet.noemi@laposte.net;1 RTE DE CAMBRAI;59187;DECHY;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;50.337641;3.099371
Thomas;Lucas;elodie45@dbmail.com;0 PL VICTOR HASSEBROUCQ;59200;TOURCOING;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;50.723463;3.160364
Simone;Gosselin;alix.germain@daniel.com;130 AV LOUIS HERBEAUX;59240;DUNKERQUE;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;51.038136;2.395641
Lucas;De Sousa;robert.hebert@tele2.fr;0  PARC ACTIVITES VALLEE ESCAUT;59264;ONNAING;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;50.369851;3.615413
Henri;Louis;victoire.hardy@rey.fr;114 AV DESANDROUIN;59300;VALENCIENNES;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;50.360404;3.500886
Laurent;Dupuis;alphonse91@live.com;8 RUE DE LA SOURCE;59320;HALLENNES-LEZ-HAUBOURDIN;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;50.60311;2.955877
Éléonore;Goncalves;suzanne88@arnaud.net;0  CHANTIER RENAULT;59553;CUINCY;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;50.381871;3.053041
Margot;Remy;margot.fischer@vallee.org;200 RUE DE LA RECHERCHE;59650;VILLENEUVE D'ASCQ;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;50.650013;3.150912
Gabriel;Duhamel;iollivier@wagner.com;276 AV DE LA MARNE;59700;MARCQ-EN-BAROEUL;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;50.676023;3.109035
Thibaut;Pires;gabriel73@live.com;3031 RUE DU COMTE JEAN;59760;GRANDE-SYNTHE;Non;Non;Non;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;51.024074;2.297267
Philippe;Gregoire;charles56@bailly.net;2 RUE JACQUEMARS GIELEE;59800;LILLE;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;50.631948;3.059082
Thérèse;Joly;alexandre.brunet@charrier.net;1 RUE DE CAMBRY;60000;BEAUVAIS;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;49.438645;2.077686
Raymond;Barthelemy;lucy.maillard@live.com;40 AV LEON BLUM;60000;BEAUVAIS;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;49.450702;2.071931
Alexandre;Maury;valerie.lecoq@dupont.com;8 AV HENRI ADNOT;60200;COMPIEGNE;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;49.387403;2.790397
Marguerite;Lebon;gallet.edouard@free.fr;2 RUE DES FINETS;60600;CLERMONT;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;49.376506;2.415767
Thierry;Laroche;charles.paul@sfr.fr;20 BD DE LA LIBERTE;62000;ARRAS;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;50.297072;2.764437
Laure;Pruvost;aurore.guerin@club-internet.fr;0 RUE FERDINAND BUISSON;62000;ARRAS;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;50.291707;2.764172
Dorothée;Leblanc;leblanc.matthieu@sfr.fr;57 AV WINSTON CHURCHILL;62000;ARRAS;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;50.29715;2.755035
Zacharie;Roy;claude69@ramos.fr;1 RUE DE LA HAUTE LOGE;62136;LESTREM;Non;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;50.634043;2.675934
Zoé;Ollivier;bouchet.jean@bertin.fr;2 RUE DE LA PORTE GAYOLE;62200;BOULOGNE-SUR-MER;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;50.720463;1.615506
Roland;Martineau;bousquet.astrid@lemaire.com;12 RUE JACQUES MONOD;62200;BOULOGNE-SUR-MER;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;50.722887;1.629461
Nicolas;Lesage;charlotte.dupuy@carlier.com;99 RTE DE LA BASSEE;62300;LENS;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;50.439478;2.82077
Simone;Voisin;ipayet@pascal.net;104 AV DU GENERAL DE GAULLE;62510;ARQUES;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;50.730682;2.301246
Laurent;Laine;gay.charles@hotmail.fr;10 RUE PHILIPPE MARCOMBES;63000;CLERMONT-FERRAND;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;45.779685;3.086073
Colette;Gilbert;lamy.antoine@yahoo.fr;58 RUE MONTALEMBERT;63000;CLERMONT-FERRAND;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;45.75868;3.09408
Odette;Laporte;auguste.carre@guibert.com;23 PL DES CARMES DECHAUX;63000;CLERMONT-FERRAND;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;45.782245;3.094608
Dominique;Leduc;gilbert41@free.fr;1 PL LUCIE ET RAYMOND AUBRAC;63100;CLERMONT-FERRAND;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;45.784669;3.109183
David;Martin;nicole.paris@orange.fr;0  LADOUX;63118;CEBAZAT;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;45.82899;3.103749
Céline;Gay;andre.martin@poulain.net;4 BD HAUTERIVE;64000;PAU;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;43.326895;-0.349229
Michelle;Dijoux;gaudin.celina@collin.fr;13 AV DE L INTERNE JACQUES LOEB;64100;BAYONNE;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;43.482296;-1.482313
Pierre;Morin;julien.leon@orange.fr;0 AV JOSEPH SZYDLOWSKI;64510;BORDES;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;43.23918;-0.285762
Éric;Noel;gilbert.sophie@gmail.com;0 PL DE LA LOGE;66000;PERPIGNAN;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;42.699548;2.894465
Constance;Normand;jacob.paulette@live.com;24 QUAI SADI CARNOT;66000;PERPIGNAN;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;42.700031;2.893436
Maggie;Perret;brigitte33@free.fr;20 AV DU LANGUEDOC;66000;PERPIGNAN;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;42.724988;2.887655
Pierre;Philippe;renee55@moulin.fr;4 RUE BLAISE PASCAL;67000;STRASBOURG;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;48.580714;7.766568
Pauline;Lebreton;alix66@gmail.com;1 PL ADRIEN ZELLER;67000;STRASBOURG;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;48.598792;7.760417
Martine;Guillet;emichel@benoit.com;1 PL DE L HOPITAL;67000;STRASBOURG;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;48.577253;7.748993
Marc;Goncalves;aimee07@sfr.fr;1  PARC DE L'ETOILE;67100;STRASBOURG;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;48.573419;7.75297
Sébastien;Ramos;picard.marie@laposte.net;0 RUE GEORGES BESSE;67150;ERSTEIN;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;48.420586;7.633837
Hugues;Robin;susanne41@live.com;1 AV MOLIERE;67200;STRASBOURG;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;48.592727;7.707241
Claudine;Blanc;rhernandez@meunier.fr;95 RTE DE SAVERNE;67205;OBERHAUSBERGEN;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;48.606595;7.681344
David;De Sousa;marine.menard@benard.com;3 RUE ALEXANDRE VOLTA;67450;MUNDOLSHEIM;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;48.64073;7.728756
Honoré;Gallet;julien58@yahoo.fr;64 AV DU PROF RENE LERICHE;67500;HAGUENAU;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;48.798914;7.779346
Alfred;Clement;lbesson@bigot.com;39 AV DE LA LIBERTE;68000;COLMAR;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;48.076851;7.336788
Valentine;Bertrand;gfernandes@etienne.org;20 AV DU DOC RENE LAENNEC;68100;MULHOUSE;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;47.723755;7.344444
Lucie;Weber;emmanuelle.raymond@chauvin.com;2 RUE PIERRE ET MARIE CURIE;68200;MULHOUSE;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;47.749928;7.33623
Nicole;Vincent;denise43@orange.fr;0 RTE DE CHALAMPE;68390;SAUSHEIM;Oui;Non;Non;Non;Non;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;47.775201;7.404124
Tristan;Fernandez;kbarthelemy@wanadoo.fr;41 RUE ANTOINE LUMIERE;69008;LYON 8EME;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Non;45.740136;4.867788
Laurence;Alexandre;nathalie.roy@robin.com;2 AV ALBERT EINSTEIN;69100;VILLEURBANNE;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;45.780499;4.875543
David;Boucher;anastasie.samson@dbmail.com;2 PL DU DOC LAZARE GOUJON;69100;VILLEURBANNE;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;45.766057;4.879589
Gilbert;Texier;potier.martine@noos.fr;5 AV MARCEL HOUEL;69200;VENISSIEUX;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;45.696793;4.885262
Maggie;Simon;lpaul@hotmail.fr;1541 AV MARCEL MERIEUX;69280;MARCY L'ETOILE;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;45.777357;4.706149
Hortense;Leclercq;georges42@vaillant.fr;165 CHE DU GRAND REVOYET;69310;PIERRE-BENITE;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;45.703482;4.805235
Inès;Fischer;helene77@delattre.fr;0  OUILLY;69400;GLEIZE;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;46.000569;4.689787
Christophe;Menard;rdevaux@boyer.org;95 BD PINEL;69500;BRON;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;45.742052;4.894137
Michelle;Prevost;emarie@delmas.com;59 BD PINEL;69500;BRON;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;45.74789;4.897201
Stéphane;Laroche;susanne81@laposte.net;99 RTE DE LYON;69800;SAINT-PRIEST;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;45.704762;4.911883
Jean;Mercier;marechal.valerie@hotmail.fr;0 RUE DE LINGENDES;71000;MACON;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;46.307635;4.834066
Patrick;Da Costa;zimbert@sfr.fr;4 RUE CAPITAINE DRILLIEN;71100;CHALON-SUR-SAONE;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;46.776134;4.841438
Patricia;Arnaud;julien.franck@hardy.fr;0 PL SAINT PIERRE;72000;LE MANS;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;48.007399;0.196759
Arthur;Fouquet;vjoseph@yahoo.fr;0 PL ARISTIDE BRIAND;72000;LE MANS;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;48.001912;0.19857
